id,name,element,rarity,emoji,baseHP,baseATK,baseDEF,baseSPD,skillName,skillCost,skillMultiplier,evolutionLevel,evolutionTarget,leaderSkill,isBoss
monster_001,小火龙,fire,2,🦎,180,45,30,15,火焰冲击,8,2.5,16,monster_006,,false
monster_002,水龟仔,water,2,🐢,200,35,40,12,水之护盾,7,2.0,16,monster_007,,false
monster_003,草苗儿,grass,2,🌱,170,38,35,18,藤鞭抽打,6,2.2,16,monster_008,,false
monster_004,雷小鼠,thunder,2,🐭,100,40,15,25,雷电箭,9,3.0,18,monster_009,,false
monster_005,光精灵,light,2,🧚,90,38,18,22,星光爆裂,10,3.5,20,monster_010,,false
monster_006,火恐龙,fire,3,🔥,160,55,30,22,烈焰冲击,10,3.0,,,,false
monster_007,水箭龟,water,3,🐢,180,42,45,18,水流护盾,9,2.5,,,,false
monster_008,妙蛙草,grass,3,🌿,150,48,38,25,藤蔓束缚,8,2.8,,,,false
monster_009,雷丘,thunder,3,⚡,135,60,22,35,雷霆万钧,12,3.8,,,,false
monster_010,光耀兽,light,3,✨,125,58,28,32,圣光爆破,13,4.2,,,,false
monster_011,冰鳞兽,water,2,🐧,145,30,35,10,寒冰冲击,8,2.3,18,monster_012,,false
monster_012,冰甲龙,water,3,🐉,200,45,55,14,极寒吐息,10,2.8,,,,false
monster_013,岩甲龙,earth,3,🦕,170,42,50,8,岩石崩落,9,2.5,,,,false
monster_014,山岭龙,earth,4,⛰️,230,58,70,10,大地之力,11,3.0,,,,false
monster_015,风羽鹰,wind,2,🦅,95,36,18,28,风刃切割,7,2.4,18,monster_016,,false
monster_016,苍穹鹰,wind,3,🌪️,130,52,25,38,风暴降临,10,3.2,,,,false
monster_017,暗影猫,dark,3,🐱,85,50,12,30,暗影利爪,9,3.0,,,,false
monster_018,幽冥虎,dark,4,🐯,120,70,18,40,暗夜终结,13,4.0,,,,false
monster_019,圣光雀,light,3,🐦,115,52,22,20,圣光射线,10,3.2,,,,false
monster_020,天使兽,light,4,👼,155,68,32,28,天堂之光,14,4.5,,,,false
monster_021,暗夜蝠,dark,2,🦇,80,38,12,28,暗影突袭,7,2.4,18,monster_022,,false
monster_022,暗翼魔,dark,3,🧛,110,55,18,38,暗翼斩,10,3.2,,,,false
monster_023,毒蛛王,dark,3,🕷️,130,55,20,12,毒液射击,8,2.8,,,,false
monster_024,剧毒蛛后,dark,4,🕸️,180,75,28,16,剧毒蛛网,12,3.8,,,,false
monster_025,雷翼龙,thunder,2,🐉,105,42,16,26,雷电冲击,8,2.6,18,monster_026,,false
monster_026,雷鸣龙,thunder,3,⚡,145,62,24,36,雷霆万钧,12,3.5,,,,false
monster_027,光辉兽,light,2,🦄,115,45,20,20,光辉射击,9,2.8,18,monster_028,,false
monster_028,圣光龙,light,3,🌟,155,65,30,28,圣光裁决,12,3.6,,,,false
monster_029,雷光兽,thunder,3,🦁,140,60,22,24,雷光斩,10,3.2,,,,false
monster_030,雷霆圣龙,thunder,4,👑,195,80,32,30,圣雷灭世,14,4.2,,,,false
monster_031,光明天使,light,3,🕊️,130,58,26,32,天使之光,11,3.4,,,,false
monster_032,神圣巨龙,light,4,🏛️,175,75,35,38,神光净化,15,4.5,,,,false
monster_033,冰晶兽,ice,2,💎,120,32,28,16,冰晶冲击,7,2.3,18,monster_034,,false
monster_034,冰晶龙,ice,3,🔷,165,48,40,22,冰晶风暴,10,2.9,,,,false
monster_035,霜狼,ice,2,🐺,95,42,18,22,霜咬,8,2.5,18,monster_036,,false
monster_036,寒霜狼王,ice,3,❄️,130,62,26,30,寒霜撕裂,11,3.3,,,,false
monster_037,雪狐,ice,2,🦊,85,38,14,30,雪遁,6,2.2,18,monster_038,,false
monster_038,冰霜妖狐,ice,3,🧊,115,55,20,42,冰霜幻舞,9,3.1,,,,false
monster_039,寒龟,ice,2,🐧,150,25,35,10,冰甲护体,7,2.0,20,monster_040,,false
monster_040,极地冰龟,ice,3,🧊,210,38,52,14,极寒护盾,10,2.5,,,,false
monster_041,冰龙,ice,3,🐉,155,58,30,20,冰龙吐息,10,3.0,,,,false
monster_042,霜翼龙,ice,4,🌨️,200,75,40,26,暴风雪降临,13,3.8,,,,false
monster_043,虚影兽,void,2,👤,100,40,16,24,虚影冲击,8,2.5,18,monster_044,,false
monster_044,虚影魔,void,3,👻,140,58,24,32,虚空撕裂,11,3.2,,,,false
monster_045,噬魂虫,void,2,🪱,80,36,12,32,灵魂吸收,7,2.4,18,monster_046,,false
monster_046,噬魂蛾,void,3,🦋,110,52,18,44,虚空幻翼,10,3.3,,,,false
monster_047,虚空幼龙,void,3,🐉,150,55,30,20,虚空吐息,10,3.0,,,,false
monster_048,虚空巨龙,void,4,🌑,200,72,40,26,虚空灭世,14,4.0,,,,false
monster_049,时空狼,temporal,2,🐺,110,38,22,22,时空撕裂,8,2.4,18,monster_050,,false
monster_050,时空狼王,temporal,3,🌟,155,55,32,30,时空裂斩,11,3.1,,,,false
monster_051,时空幼龙,temporal,3,🐉,145,52,28,18,时空吐息,10,2.9,,,,false
monster_052,时空巨龙,temporal,4,⏳,195,68,38,24,时空湮灭,13,3.6,,,,false
monster_053,时空狐,temporal,2,🦊,88,40,14,32,时空穿梭,7,2.3,18,monster_054,,false
monster_054,时空妖狐,temporal,3,🔮,120,58,20,44,时空幻舞,10,3.2,,,,false
monster_055,星耀狼,star,2,🐺,115,40,24,24,星光撕裂,8,2.5,18,monster_056,,false
monster_056,星耀狼王,star,3,🌟,160,58,34,32,星耀裂斩,11,3.2,,,,false
monster_057,星耀幼龙,star,3,🐉,150,55,30,20,星耀吐息,10,3.0,,,,false
monster_058,星耀巨龙,star,4,✨,205,72,42,26,星耀灭世,14,3.8,,,,false
monster_059,星耀狐,star,2,🦊,90,42,16,34,星耀穿梭,7,2.4,18,monster_060,,false
monster_060,星耀妖狐,star,3,🔮,125,60,22,46,星耀幻舞,10,3.3,,,,false
monster_061,混沌狼,chaos,2,🐺,118,42,26,25,混沌撕裂,8,2.6,18,monster_062,,false
monster_062,混沌狼王,chaos,3,🌟,165,60,36,34,混沌裂斩,11,3.3,,,,false
monster_063,混沌幼龙,chaos,3,🐉,155,58,32,22,混沌吐息,10,3.1,,,,false
monster_064,混沌巨龙,chaos,4,🌑,210,75,44,28,混沌灭世,14,3.9,,,,false
monster_065,混沌狐,chaos,2,🦊,92,44,16,36,混沌穿梭,7,2.5,18,monster_066,,false
monster_066,混沌妖狐,chaos,3,🔮,128,62,24,48,混沌幻舞,10,3.4,,,,false
monster_067,光耀狼,light,2,🐺,120,42,28,26,光耀撕裂,8,2.6,18,monster_068,,false
monster_068,光耀狼王,light,3,🌟,170,62,38,35,光耀裂斩,11,3.3,,,,false
monster_069,光耀幼龙,light,3,🐉,160,60,34,24,光耀吐息,10,3.2,,,,false
monster_070,光耀巨龙,light,4,✨,215,78,46,30,光耀灭世,14,4.0,,,,false
monster_071,光耀狐,light,2,🦊,95,46,18,38,光耀穿梭,7,2.6,18,monster_072,,false
monster_072,光耀妖狐,light,3,🔮,132,65,26,50,光耀幻舞,10,3.5,,,,false
monster_073,光耀战鹰,light,3,🦅,130,62,22,28,光耀翼斩,9,3.2,,,,false
monster_074,光耀圣鹰,light,4,🕊️,180,80,32,36,圣光裁决,13,4.2,,,,false
monster_075,光耀守护者,light,3,🛡️,200,38,48,12,圣光护盾,8,2.2,,,,false
monster_076,光耀巨灵,light,4,👼,270,50,65,16,神圣庇护,11,2.8,,,,false
monster_boss_001,花叶兽,grass,3,🌺,350,45,35,10,花瓣风暴,10,3.0,,,,true
monster_boss_002,烈焰龙,fire,3,🐉,400,55,30,12,龙息烈焰,12,3.5,,,,true
monster_boss_003,深海海马王,water,4,🦑,450,50,40,14,深渊漩涡,12,3.2,,,,true
monster_boss_004,暗影巨龙,dark,4,🐲,530,55,45,16,暗影龙息,13,3.5,,,,true
monster_boss_005,雷霆巨兽,thunder,4,⚡,600,58,48,18,雷霆裁决,14,3.8,,,,true
monster_boss_006,冰霜巨龙,ice,4,🐲,700,60,55,12,绝对零度,15,4.0,,,,true
monster_boss_007,虚空巨龙,void,5,🌑,750,65,50,14,虚空湮灭,15,4.2,,,,true
