id,name,element,rarity,emoji,baseHP,baseATK,baseDEF,baseSPD,skillName,skillCost,skillMultiplier,evolutionLevel,evolutionTarget,leaderSkill,isBoss,silhouette,keyFeatures,faceType,bodyForm,designNote,nickname,palette,evolutionForm,vibe
monster_001,小火龙,fire,2,🦎,180,45,30,15,火焰冲击,8,2.5,16,monster_006,,false,火蜥蜴幼体,火焰鬃毛|火尾|红宝石,圆瞳大眼|腮红,两足蜥蜴|小短手,暖红橙色调,小沙|沙仔,赤橙+琥珀金,幼体→成体,热血笨蛋|嘴硬|直来直去
monster_002,水龟仔,water,2,🐢,200,35,40,12,水之护盾,7,2.0,16,monster_007,,false,水栖龟灵,圆龟壳|水晶冠|水滴尾|泡泡,睡眼半眯|水滴眉,低重心四足|壳为盾,水蓝透明感,龟吉|泡泡,海蓝+冰白,幼体→成体,慢性子|佛系|爱吃睡
monster_003,草苗儿,grass,2,🌱,170,38,35,18,藤鞭抽打,6,2.2,16,monster_008,,false,草系幼苗,大叶耳|花朵|叶尾|绿宝石,豆豆眼|叶瓣眉,两足直立|叶裙,嫩绿清新,苗苗|叶子,嫩绿+鹅黄,幼体→成体,好奇宝宝|黏人|爱晒太阳
monster_004,雷小鼠,thunder,2,🐭,100,40,15,25,雷电箭,9,3.0,18,monster_009,,false,雷鼠灵,闪电耳|折线尾|蓝宝石|电光,锐利竖瞳|小尖牙,两足小兽|电弧尾,蓝紫电纹,皮皮|电球,蓝紫+电光白,幼体→成体,机灵鬼|嘴碎|爱炫耀
monster_005,光精灵,light,2,🧚,90,38,18,22,星光爆裂,10,3.5,20,monster_010,,false,光之妖精,星环|羽翼|金色宝石,无瞳星眼|小尖鼻,飘浮双翼|微仰,金白光辉,叮叮|小光,金白+星辉,幼体→成体,傲娇|怕生|但嘴上不认输
monster_006,火恐龙,fire,3,🔥,160,55,30,22,烈焰冲击,10,3.0,,,,false,火恐龙,火焰冠|角|小翼|火尾,锐眼金瞳|火纹面纹,两足龙型|挺胸,深红威风,火爷|阿火,深红+熔岩橙,成体,不服输|热血|认死理
monster_007,水箭龟,water,3,🐢,180,42,45,18,水流护盾,9,2.5,,,,false,水龙龟,蓝晶甲壳|水晶刺|泡泡,横瞳海龟眼|硬甲腮,四足重装|甲耸,深蓝沉稳,龟仙人|铁甲,深蓝+钢灰,成体,老成稳重|爱说教|闷骚
monster_008,妙蛙草,grass,3,🌿,150,48,38,25,藤蔓束缚,8,2.8,,,,false,草龙蛙,花冠|叶耳|叶领|卷叶尾,蛙眼横瞳|花斑,匍匐两栖|花叶裙,翠绿茂盛,蛙哥|大嘴,翠绿+粉花,成体,话痨|爱吹牛|嗓门大
monster_009,雷丘,thunder,3,⚡,135,60,22,35,雷霆万钧,12,3.8,,,,false,雷兽,黑金雷鬃|闪电纹|蓝宝石,锐利电眼|鬓毛飞扬,四足奔兽|鬃炸开,金黑雷光,雷哥|阿雷,金黑+闪电白,成体,急性子|暴脾气|护短
monster_010,光耀兽,light,3,✨,125,58,28,32,圣光爆破,13,4.2,,,,false,光耀圣兽,星冠|多尾|金色项饰,闭眼微笑|星辉纹,四足圣兽|多尾开屏,金白圣洁,光仔|小耀,金白+虹彩,成体,圣母心|爱操心|但关键时刻硬
